Date,Open,High,Low,Close,Adj Close,Volume
10/3/2018,25290.55078,25470.05078,25026.34961,25069.90039,25069.90039,253300
10/4/2018,24735.15039,24893.40039,24501.05078,24819.30078,24819.30078,0
10/5/2018,24741.65039,25080.19922,24250.65039,24443.44922,24443.44922,0
10/8/2018,24470.75,24745.34961,24240.05078,24618.34961,24618.34961,0
10/9/2018,24703.65039,24759.90039,24464.90039,24527.65039,24527.65039,0
10/10/2018,24596.59961,25371.15039,24559.90039,25321.69922,25321.69922,0
10/11/2018,24541.75,24940.09961,24493.69922,24783.94922,24783.94922,0
10/12/2018,25001.94922,25484.19922,24975.44922,25395.84961,25395.84961,0
10/15/2018,25444,25466.19922,25147.80078,25388.05078,25388.05078,0
10/16/2018,25414.19922,25707.05078,25351.80078,25589.65039,25589.65039,0
10/17/2018,25839.09961,25915.34961,25101.94922,25188.59961,25188.59961,0
10/19/2018,24966.5,25277.90039,24922.65039,25085.80078,25085.80078,0
